kode_ba;kode_akun;kode_kab;blokir;kontrak;pagu;realisasi;bulan;tahun
5;5;1306;0;0;6138446000;432761094;januari;2023
5;5;1306;0;23333360;2457438000;26695986;januari;2023
5;5;1306;0;0;28000000;0;januari;2023
6;6;1306;0;0;4899019000;181783640;januari;2023
6;6;1306;0;0;2811771000;58762600;januari;2023
6;6;1306;0;0;119200000;0;januari;2023
13;13;1306;0;0;5385359000;344441559;januari;2023
13;13;1306;0;3667514163;18703930000;786969662;januari;2023
13;13;1306;0;0;528647000;0;januari;2023
15;15;1306;0;0;858299000;45220000;januari;2023
15;15;1306;0;0;7638754000;136568910;januari;2023
15;15;1306;0;0;28500000;0;januari;2023
22;22;1306;0;0;7869647000;567496621;januari;2023
22;22;1306;0;0;13322106000;499334548;januari;2023
22;22;1306;0;11140544283;51000000000;0;januari;2023
23;23;1306;0;0;10736868000;373162180;januari;2023
23;23;1306;0;0;14237963000;60207661;januari;2023
23;23;1306;0;0;2335341000;0;januari;2023
25;25;1306;0;0;42349754000;1231587883;januari;2023
25;25;1311;0;0;10643196000;271342139;januari;2023
25;25;1306;0;0;8609170000;342345674;januari;2023
25;25;1311;0;0;3506498000;49247095;januari;2023
25;25;1306;0;0;389305000;9999370;januari;2023
25;25;1311;0;0;575334000;0;januari;2023
29;29;1306;0;0;5646971000;223708384;januari;2023
29;29;1306;30315000;0;6509588000;110510818;januari;2023
29;29;1306;0;195997802;1130227000;0;januari;2023
32;32;1311;0;0;2183225000;64225281;januari;2023
32;32;1311;298165000;231266560;5529146000;0;januari;2023
32;32;1311;0;0;325900000;0;januari;2023
54;54;1306;0;0;3451854000;230262977;januari;2023
54;54;1311;0;0;2490441000;177508129;januari;2023
54;54;1306;753022000;0;10431221000;0;januari;2023
54;54;1311;689246000;0;4506790000;4476562;januari;2023
56;56;1306;0;0;1858128000;123202304;januari;2023
56;56;1311;0;0;1192702000;65023955;januari;2023
56;56;1306;69135000;0;6265813000;31483048;januari;2023
56;56;1311;0;6600000;3277624000;78000000;januari;2023
56;56;1306;0;418806000;1003736000;0;januari;2023
56;56;1311;0;1320248000;1998676000;0;januari;2023
60;60;1306;0;0;43519612000;3197772004;januari;2023
60;60;1311;0;0;19341512000;1430837618;januari;2023
60;60;1306;0;1191239084;17788490000;577403623;januari;2023
60;60;1311;0;666342500;9439739000;29526500;januari;2023
60;60;1306;0;0;20000000;0;januari;2023
60;60;1311;0;1122406740;4090845000;0;januari;2023
75;75;1306;0;0;1203390000;28171548;januari;2023
75;75;1306;26380000;0;646698000;23826295;januari;2023
75;75;1306;0;0;201800000;0;januari;2023
76;76;1306;0;0;2120001000;106551516;januari;2023
76;76;1311;0;0;1951052000;101067599;januari;2023
76;76;1306;0;0;37615427000;0;januari;2023
76;76;1311;0;0;9251608000;222258300;januari;2023
76;76;1306;0;0;55229000;0;januari;2023
76;76;1311;0;0;51560000;0;januari;2023
115;115;1306;0;0;1048261000;66304007;januari;2023
115;115;1306;93398000;0;20568921000;210438543;januari;2023
115;115;1306;36036000;0;227490000;0;januari;2023
999;999;1306;0;0;2,72275E+11;30799346400;januari;2023
999;999;1311;0;0;36738750000;4577800350;januari;2023
999;999;1306;0;0;1,09107E+12;1,01955E+11;januari;2023
999;999;1311;0;0;4,61705E+11;52216124000;januari;2023
999;999;1306;4,62E+11;0;1,19557E+11;0;januari;2023
999;999;1311;0;0;63618291000;0;januari;2023
999;999;1311;0;0;9943767000;0;januari;2023
999;999;1306;0;0;2,78677E+11;0;januari;2023
999;999;1311;0;0;78311301000;0;januari;2023
999;999;1306;0;0;2,47798E+11;0;januari;2023
999;999;1311;0;0;42952219000;0;januari;2023
5;5;1306;0;0;6138446000;440244058;february;2023
5;5;1306;0;23333360;2457438000;187170300;february;2023
5;5;1306;0;0;28000000;0;february;2023
6;6;1306;0;0;4899019000;365874842;february;2023
6;6;1306;0;0;2811771000;145423450;february;2023
6;6;1306;0;0;119200000;119200000;february;2023
13;13;1306;0;0;5385359000;420293603;february;2023
13;13;1306;0;3667514163;18703930000;1628434918;february;2023
13;13;1306;0;0;528647000;0;february;2023
15;15;1306;0;0;858299000;59129000;february;2023
15;15;1306;0;0;7638754000;534759935;february;2023
15;15;1306;0;0;28500000;0;february;2023
22;22;1306;0;0;7869647000;623910977;february;2023
22;22;1306;0;0;13322106000;975254208;february;2023
22;22;1306;0;11140544283;51000000000;7779600000;february;2023
23;23;1306;0;0;10736868000;723502845;february;2023
23;23;1306;0;0;14237963000;788505636;february;2023
23;23;1306;0;0;2335341000;139840000;february;2023
25;25;1306;0;0;42349754000;1797104392;february;2023
25;25;1311;0;0;10643196000;473352422;february;2023
25;25;1306;0;0;8609170000;808393289;february;2023
25;25;1311;0;0;3506498000;538831201;february;2023
25;25;1306;0;0;389305000;217653000;february;2023
25;25;1311;0;0;575334000;310874000;february;2023
29;29;1306;0;0;5646971000;416883575;february;2023
29;29;1306;30315000;0;6509588000;754102531;february;2023
29;29;1306;0;195997802;1130227000;6745945;february;2023
32;32;1311;0;0;2183225000;144462623;february;2023
32;32;1311;298165000;231266560;5529146000;350991659;february;2023
32;32;1311;0;0;325900000;0;february;2023
54;54;1306;0;0;3451854000;255675075;february;2023
54;54;1311;0;0;2490441000;181979050;february;2023
54;54;1306;753022000;0;10431221000;341562858;february;2023
54;54;1311;689246000;0;4506790000;191551271;february;2023
56;56;1306;0;0;1858128000;123299304;february;2023
56;56;1311;0;0;1192702000;73106955;february;2023
56;56;1306;69135000;0;6265813000;275334690;february;2023
56;56;1311;0;6600000;3277624000;95134500;february;2023
56;56;1306;0;418806000;1003736000;0;february;2023
56;56;1311;0;1320248000;1998676000;0;february;2023
60;60;1306;0;0;43519612000;3095546120;february;2023
60;60;1311;0;0;19341512000;1387793164;february;2023
60;60;1306;0;1191239084;17788490000;2221640918;february;2023
60;60;1311;0;666342500;9439739000;1123509583;february;2023
60;60;1306;0;0;20000000;0;february;2023
60;60;1311;0;1122406740;4090845000;128801300;february;2023
75;75;1306;0;0;1203390000;81272766;february;2023
75;75;1306;26380000;0;646698000;68554519;february;2023
75;75;1306;0;0;201800000;19975000;february;2023
76;76;1306;0;0;2120001000;146822921;february;2023
76;76;1311;0;0;1951052000;150689240;february;2023
76;76;1306;0;0;37615427000;1454469000;february;2023
76;76;1311;0;0;9251608000;585527947;february;2023
76;76;1306;0;0;55229000;0;february;2023
76;76;1311;0;0;51560000;0;february;2023
115;115;1306;0;0;1048261000;82478077;february;2023
115;115;1306;93398000;0;20568921000;1795075798;february;2023
115;115;1306;36036000;0;227490000;0;february;2023
999;999;1306;0;0;2,72275E+11;0;february;2023
999;999;1311;0;0;36738750000;0;february;2023
999;999;1306;0;0;1,09107E+12;50977419000;february;2023
999;999;1311;0;0;4,61705E+11;26108062000;february;2023
999;999;1306;0;0;1,19557E+11;0;february;2023
999;999;1311;0;0;63618291000;0;february;2023
999;999;1311;0;0;9943767000;0;february;2023
999;999;1306;0;0;2,78677E+11;10081630000;february;2023
999;999;1311;0;0;78311301000;114930000;february;2023
999;999;1306;0;0;2,47798E+11;25461498600;february;2023
999;999;1311;0;0;42952219000;0;february;2023
